Starting SDDP loop (forward and backward passes)
 Iter | Lower Bound (LB)  | Real Cost (Sim)    | UB Mean +- 95% CI
    1 |               0.0 |            59280.0 |                      -
    2 |          75406.29 |           185530.0 |    122405.0 ± 123725.0
    3 |          88741.71 |            86650.0 |     110487.0 ± 75155.0
    4 |          13965.21 |           182230.0 |     128422.0 ± 63718.0
    5 |          88741.71 |           429735.0 |    188685.0 ± 128012.0
    6 |          88741.71 |            48679.0 |    165351.0 ± 114089.0
    7 |           24926.2 |           13777.45 |    143697.0 ± 105350.0
    8 |          70630.23 |            31498.0 |     129672.0 ± 95287.0
    9 |         104862.94 |           119779.0 |     128573.0 ± 84063.0
   10 |          70630.23 |            59099.0 |     121626.0 ± 76411.0
   11 |          70662.15 |            26150.0 |     112946.0 ± 71179.0
   12 |         104892.03 |           324485.0 |     130574.0 ± 73593.0
   13 |          81063.78 |          111503.75 |     129107.0 ± 67756.0
   14 |         113521.75 |           122463.7 |     128633.0 ± 62737.0
   15 |         124298.93 |          113248.45 |     127607.0 ± 58440.0
   16 |         128074.93 |            61144.0 |     123453.0 ± 55268.0
   17 |         128235.54 |          110274.14 |     122678.0 ± 51938.0
   18 |         129102.34 |           188818.0 |     126352.0 ± 49494.0
   19 |         131818.31 |           189755.0 |     129689.0 ± 47271.0
   20 |          94651.18 |            35660.5 |     124988.0 ± 45783.0
   21 |         131818.31 |            64062.0 |     122087.0 ± 43918.0
   22 |          98440.85 |          493333.33 |     138962.0 ± 53361.0
   23 |         112362.39 |           23808.07 |     133955.0 ± 51924.0
   24 |         112431.53 |           86768.53 |     131989.0 ± 49862.0
   25 |         133429.28 |          147435.05 |     132607.0 ± 47841.0
   26 |         112806.79 |          493333.33 |     146481.0 ± 53406.0
   27 |         113404.47 |            32961.0 |     142276.0 ± 52047.0
   28 |         134391.81 |           198745.5 |     144293.0 ± 50309.0
   29 |         134734.72 |          120626.61 |     143477.0 ± 48569.0
   30 |         113829.54 |           167340.9 |     144272.0 ± 46948.0
   31 |         134734.72 |           77867.96 |     142130.0 ± 45602.0
   32 |         113829.54 |            27000.0 |     138533.0 ± 44714.0
   33 |         114096.03 |            99545.0 |     137351.0 ± 43400.0
   34 |         114181.46 |            84168.0 |     135787.0 ± 42215.0
   35 |         134820.15 |           141481.9 |     135950.0 ± 40993.0
   36 |         135001.84 |          149305.89 |     136321.0 ± 39844.0
   37 |         135014.99 |           74013.61 |     134637.0 ± 38893.0
   38 |         135014.99 |            61144.0 |     132703.0 ± 38045.0
   39 |         114218.34 |            39468.0 |     130312.0 ± 37351.0
   40 |         114359.52 |           132711.0 |     130372.0 ± 36406.0
   41 |         114415.54 |          108672.43 |     129843.0 ± 35522.0
   42 |         114707.47 |          493333.33 |     138497.0 ± 38594.0
   43 |         135085.09 |           39076.93 |     136185.0 ± 37957.0
   44 |         135085.09 |            33636.0 |     133855.0 ± 37364.0
   45 |         135161.96 |           179483.0 |     134868.0 ± 36579.0
   46 |         114777.21 |           132475.0 |     134816.0 ± 35775.0
   47 |         114781.19 |          130576.01 |     134726.0 ± 35006.0
   48 |         114819.84 |              215.0 |     131924.0 ± 34706.0
   49 |         114819.84 |            22909.0 |     129699.0 ± 34269.0
   50 |         114819.84 |            83374.0 |     128773.0 ± 33626.0
   51 |         114856.72 |           227330.0 |     130705.0 ± 33177.0
   52 |         135246.62 |          134537.07 |     130779.0 ± 32533.0
